district,year,crop,season,area,production,yield,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
KAPURTHALA,2004,Sugarcane,Whole year,5000,30000,6,39.37333333,27.00041667,8,18,2
KAPURTHALA,2012,Sugarcane,Whole year,3000,194000,64.66666667,39.58916667,25.7525,8,18,2
KAPURTHALA,1999,Sugarcane,Whole year,4000,220000,55,27.48583333,27.48916667,8,18,2
KAPURTHALA,1998,Sugarcane,Whole year,4000,240000,60,25.0475,26.83791667,8,18,2
KAPURTHALA,1998,Rice,Kharif,99000,314000,3.171717172,25.0475,26.83791667,8,16,0
KAPURTHALA,1999,Rice,Kharif,100000,319000,3.19,27.48583333,27.48916667,8,16,0
KAPURTHALA,2003,Sugarcane,Whole year,6000,320000,53.33333333,45.74166667,26.11833333,8,18,2
KAPURTHALA,2000,Sugarcane,Whole year,5000,330000,66,31.97916667,26.95833333,8,18,2
KAPURTHALA,2002,Sugarcane,Whole year,6000,350000,58.33333333,31.44583333,27.45333333,8,18,2
KAPURTHALA,2001,Rice,Kharif,103000,357000,3.466019417,40.47,26.62666667,8,16,0
KAPURTHALA,2000,Rice,Kharif,103000,358000,3.475728155,31.97916667,26.95833333,8,16,0
KAPURTHALA,2003,Rice,Kharif,104000,361000,3.471153846,45.74166667,26.11833333,8,16,0
KAPURTHALA,2002,Rice,Kharif,102000,362000,3.549019608,31.44583333,27.45333333,8,16,0
KAPURTHALA,2001,Sugarcane,Whole year,6000,370000,61.66666667,40.47,26.62666667,8,18,2
KAPURTHALA,2006,Rice,Kharif,110000,414000,3.763636364,60.74583333,26.1925,8,16,0
KAPURTHALA,2005,Rice,Kharif,108000,422000,3.907407407,49.77,25.68041667,8,16,0
KAPURTHALA,2004,Rice,Kharif,105000,423000,4.028571429,39.37333333,27.00041667,8,16,0
KAPURTHALA,2008,Rice,Kharif,114000,428000,3.754385965,77.36166667,25.28041667,8,16,0
KAPURTHALA,2007,Rice,Kharif,110000,428000,3.890909091,45.78,26.28833333,8,16,0
KAPURTHALA,2006,Wheat,Rabi,109000,444000,4.073394495,60.74583333,26.1925,8,21,1
KAPURTHALA,2012,Rice,Kharif,117000,445000,3.803418803,39.58916667,25.7525,8,16,0
KAPURTHALA,2002,Wheat,Rabi,112000,445000,3.973214286,31.44583333,27.45333333,8,21,1
KAPURTHALA,2009,Rice,Kharif,115000,452000,3.930434783,35.8925,26.62,8,16,0
KAPURTHALA,2009,Wheat,Rabi,111000,457000,4.117117117,35.8925,26.62,8,21,1
KAPURTHALA,2010,Rice,Kharif,118000,460000,3.898305085,52.47,26.5225,8,16,0
KAPURTHALA,2004,Wheat,Rabi,115000,460000,4,39.37333333,27.00041667,8,21,1
KAPURTHALA,1998,Wheat,Rabi,108000,465000,4.305555556,25.0475,26.83791667,8,21,1
KAPURTHALA,2008,Wheat,Rabi,111000,472000,4.252252252,77.36166667,25.28041667,8,21,1
KAPURTHALA,2010,Wheat,Rabi,108000,480000,4.444444444,52.47,26.5225,8,21,1
KAPURTHALA,2005,Wheat,Rabi,111000,483000,4.351351351,49.77,25.68041667,8,21,1
KAPURTHALA,2000,Wheat,Rabi,111000,493000,4.441441441,31.97916667,26.95833333,8,21,1
KAPURTHALA,2003,Wheat,Rabi,112000,496000,4.428571429,45.74166667,26.11833333,8,21,1
KAPURTHALA,2007,Wheat,Rabi,111000,506000,4.558558559,45.78,26.28833333,8,21,1
KAPURTHALA,2012,Wheat,Rabi,110000,510000,4.636363636,39.58916667,25.7525,8,21,1
KAPURTHALA,1999,Wheat,Rabi,111000,523000,4.711711712,27.48583333,27.48916667,8,21,1
