,year,area,production,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
337,2002,700,500,22.02416667,27.93333333,2,6,2
338,2008,300,500,56.525,25.96291667,2,6,2
339,2007,800,600,36.405,26.8725,2,11,0
340,2003,1000,700,37.48166667,26.46666667,2,11,0
341,2004,900,700,31.17583333,27.50583333,2,11,0
342,2006,800,700,43.10666667,26.76416667,2,11,0
343,2008,700,700,56.525,25.96291667,2,11,0
344,2003,1100,800,37.48166667,26.46666667,2,6,2
345,1998,1000,1000,23.385,27.16416667,2,5,0
346,2008,1000,1000,56.525,25.96291667,2,1,0
347,1998,1000,1000,23.385,27.16416667,2,15,1
348,1999,1000,1000,19.7675,27.97625,2,15,1
349,2002,1000,1000,22.02416667,27.93333333,2,15,1
350,2004,1000,1000,31.17583333,27.50583333,2,15,1
351,2005,1000,1000,40.05083333,26.1,2,15,1
352,2006,1000,1000,43.10666667,26.76416667,2,15,1
353,1999,3700,1400,19.7675,27.97625,2,11,0
354,2000,3200,1600,22.84083333,27.435,2,11,0
355,2003,1000,2000,37.48166667,26.46666667,2,15,1
356,1998,3900,2000,23.385,27.16416667,2,11,2
357,1998,1000,3000,23.385,27.16416667,2,2,1
358,1999,1000,3000,19.7675,27.97625,2,2,1
359,2000,1000,3000,22.84083333,27.435,2,2,1
360,2003,1000,3000,37.48166667,26.46666667,2,2,1
361,2002,1000,4000,22.02416667,27.93333333,2,2,1
362,2005,1000,6000,40.05083333,26.1,2,18,2
363,2004,1000,7000,31.17583333,27.50583333,2,18,2
364,1998,22000,19000,23.385,27.16416667,2,3,0
365,2002,16000,25000,22.02416667,27.93333333,2,3,0
366,1999,15000,29000,19.7675,27.97625,2,3,0
367,2000,14000,35000,22.84083333,27.435,2,3,0
368,2012,15000,46000,33.44083333,26.00541667,2,3,0
369,2010,15000,56000,41.98083333,26.90458333,2,3,0
370,2003,20000,58000,37.48166667,26.46666667,2,3,0
371,2004,21000,68000,31.17583333,27.50583333,2,3,0
372,2009,18000,71000,29.8275,27.00041667,2,3,0
373,2001,36000,72000,32.3675,27.11625,2,3,0
374,2008,21000,85000,56.525,25.96291667,2,3,0
375,2007,28000,105000,36.405,26.8725,2,3,0
376,2005,25000,108000,40.05083333,26.1,2,3,0
377,1998,2000,120000,23.385,27.16416667,2,18,2
378,1999,2000,120000,19.7675,27.97625,2,18,2
