district_encoded,year,crop_encoded,season_encoded,area,AvgRain,AvgTemp
13,1998,9,0,18000,32.34416667,26.38291667
8,2003,0,0,100,45.74166667,26.11833333
10,2009,2,1,1000,29.43666667,27.17791667
16,2001,2,1,6000,38.78416667,26.64208333
6,2009,9,0,67000,45.20583333,25.605
12,1998,4,1,1600,27.87583333,27.08041667
10,1999,21,1,157000,15.8825,28.07166667
9,2005,15,1,2000,46.84,25.80916667
1,2004,1,0,1000,27.58,27.69083333
2,2003,4,1,200,37.48166667,26.46666667
6,2007,0,0,100,62.96083333,25.07583333
9,2008,11,0,1200,76.2825,25.22208333
7,2008,16,0,155000,90.14333333,24.945
11,2009,15,1,1000,33.07583333,26.79041667
4,2008,17,0,1700,56.525,25.96291667
4,2008,21,1,395000,56.525,25.96291667
16,2000,12,0,200,31.74666667,26.96208333
16,2003,0,0,2000,47.79916667,26.00041667
6,2006,14,1,300,79.065,25.21916667
6,2008,4,1,200,101.3833333,24.3025
12,2007,21,1,202000,34.32166667,27.13208333
6,2006,5,0,3500,79.065,25.21916667
13,1999,18,2,12000,32.2,27.14458333
3,1999,16,0,82000,33.88083333,27.225
14,2002,18,2,5000,34.91833333,27.35083333
0,2007,21,1,184000,55.90916667,25.94083333
7,1999,9,0,15000,32.2,27.14458333
3,2006,15,1,1000,51.31083333,26.45958333
6,2004,17,0,700,50.45833333,25.90375
16,2008,2,1,2000,64.98416667,25.48416667
3,2006,16,0,84000,51.31083333,26.45958333
6,2004,16,0,58000,50.45833333,25.90375
6,2004,10,1,700,50.45833333,25.90375
16,2010,2,1,2000,52.72333333,26.49541667
0,2006,21,1,185000,70.41083333,25.94375
12,2003,11,0,1900,37.2525,26.53791667
0,2006,9,0,2000,70.41083333,25.94375
13,2005,16,0,49000,53.49083333,25.50916667
8,1999,11,0,100,27.48583333,27.48916667
5,2000,18,2,18000,43.4175,25.2575
10,2002,17,0,1200,19.445,28.05
7,2001,4,1,100,45.6625,26.32708333
12,1998,3,0,109000,27.87583333,27.08041667
1,2003,5,0,300,37.2525,26.53791667
12,1999,16,0,91000,16.4825,28.14166667
9,2012,2,1,2000,38.71666667,25.77541667
6,1999,16,0,61000,35.5325,26.37541667
13,2004,4,1,100,45.565,26.64166667
2,2002,15,1,1000,22.02416667,27.93333333
13,2012,15,1,2000,44.08916667,25.59625
2,2004,3,0,21000,31.17583333,27.50583333
16,2005,21,1,396000,42.3725,25.96541667
10,2010,2,1,1000,45.66666667,26.88875
4,2004,5,0,100,31.17583333,27.50583333
12,1999,11,0,3000,16.4825,28.14166667
2,2009,16,0,98000,29.8275,27.00041667
4,2000,18,2,8000,22.84083333,27.435
5,2003,4,1,400,74.43583333,24.22375
14,2004,15,1,2000,46.67416667,26.60041667
5,2012,16,0,201000,53.06583333,24.24916667
12,2005,6,2,3100,34.2425,26.375
1,2007,16,0,86000,34.32166667,27.13208333
16,2000,5,0,1000,31.74666667,26.96208333
6,2010,14,1,200,74.025,25.52458333
5,1999,18,2,16000,30.54916667,25.92708333
4,2002,21,1,369000,22.02416667,27.93333333
16,2008,14,1,100,64.98416667,25.48416667
16,1999,3,0,20000,21.91083333,27.63708333
5,1998,18,2,15000,24.57916667,25.52208333
15,1999,0,0,600,46.96833333,22.78166667
0,2006,17,0,2100,70.41083333,25.94375
